ECNumber	EnzymeType	Organism	Smiles	Substrate	UniprotID	Value	Unit
1.1.1.184	wildtype	Homo sapiens	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH	P16152	179.0	s^(-1)
1.1.1.184	wildtype	Thermotoga maritima	C1=CC=C(C=C1)C(=O)C(F)(F)F	trifluoroacetophenone		16.4	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	C1=CC=C(C=C1)N2C3=CC=CC=C3C(=O)C2=O	1-Phenylisatin		17.0	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	C1=CC=C(C=C1)C(=O)C2=CC=NC=C2	4-Benzoylpyridine		17.0	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	CCCCCC(=O)C1=CC=NC=C1	4-hexanoylpyridine		17.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	CCCC(=O)C	2-Pentanone		18.0	s^(-1)
1.1.1.184	V88I	Homo sapiens	CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O	Prostaglandin E2	P16152	18.0	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O	9,10-Phenanthrenedione		20.0	s^(-1)
1.1.1.184	V244P/D236A/P230W/K238P/Q142M/H270S/C143S/I241T/R242K/D239K/S240A/T243S	Homo sapiens	C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N	S-Nitrosoglutathione	P11766	20.45	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	CCCCC(=O)C(=O)C	2,3-Heptanedione		23.0	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	CCC(=O)C(=O)C	2,3-Pentanedione		23.0	s^(-1)
1.1.1.184	wildtype	Gluconobacter oxydans	CC(=O)C=O	Methylglyoxal	Q5FT75	23.8	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	CCCC(=O)C(=O)C	2,3-Hexanedione		24.0	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	CCCCCC(=O)C1=CC=CC=C1	hexanophenone		25.0	s^(-1)
1.1.1.184	wildtype	Homo sapiens	CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O	Prostaglandin E2	P16152	25.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	CC(C(C)O)O	erythro-2,3-Butanediol		26.0	s^(-1)
1.1.1.184	wildtype	Canis lupus familiaris	CCOC(=O)C(=O)C1=CC=CC=C1	ethyl oxo(phenyl)acetate		32.0	s^(-1)
1.1.1.184	C227S	Homo sapiens	C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O	9,10-Phenanthrenedione		36.2	s^(-1)
1.1.1.184	wildtype	Gluconobacter oxydans	C1=CC=C(C=C1)C(=O)C=O	Phenylglyoxal	Q5FT75	39.3	s^(-1)
1.1.1.184	S1M	Starmerella magnoliae	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		120.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	C1CCC(=O)C1	Cyclopentanone		80.0	s^(-1)
1.1.1.184	V88I	Homo sapiens	CC1=CC(=O)C2=CC=CC=C2C1=O	Menadione	P16152	85.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	CCC(=O)C	2-Butanone		86.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	C1CCC(=O)CC1	Cyclohexanone		86.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	C1CCC(C1)O	Cyclopentanol		106.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	CCC(C)O	(R)-2-Butanol		177.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		129.0	s^(-1)
1.1.1.184	V88I	Homo sapiens	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH	P16152	149.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	CC(C(=O)C)O	Acetoin		183.0	s^(-1)
1.1.1.184	wildtype	Homo sapiens	CCCCCC(=O)C=CC=O	4-oxo-2-nonenal	O75828	220.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	CC(C)O	2-Propanol		243.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+		243.0	s^(-1)
1.1.1.184	wildtype	Methanobacterium palustre	CC(=O)C(=O)C	Dimethylglyoxal		609.0	s^(-1)
1.1.1.184	wildtype	Starmerella magnoliae	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		870.0	s^(-1)
2.2.1.2	F189Y	Homo sapiens	C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O	Fructose 6-phosphate		7.4	s^(-1)
2.2.1.2	F189Y	Escherichia coli	C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O	Fructose 6-phosphate		8.8	s^(-1)
2.2.1.2	F189Y	Escherichia coli	C(C(=O)CO)O	Dihydroxyacetone	P0A870	4.3	s^(-1)
2.2.1.2	wildtype	Blastobotrys adeninivorans	C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O	Fructose 6-phosphate		4.9	s^(-1)
2.2.1.2	wildtype	Blastobotrys adeninivorans	C(C(C(C=O)O)O)OP(=O)(O)O	D-Erythrose 4-phosphate		6.44	s^(-1)
2.2.1.2	F189Y	Homo sapiens	C(C(=O)CO)O	Dihydroxyacetone		8.9	s^(-1)
2.2.1.2	wildtype	Escherichia coli	C(C(C=O)O)OP(=O)(O)O	D-Glyceraldehyde 3-phosphate		13.0	s^(-1)
2.2.1.2	wildtype	Thermotoga maritima	C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O	Fructose 6-phosphate		22.3	s^(-1)
2.2.1.2	wildtype	Thermotoga maritima	C(C(C(C=O)O)O)OP(=O)(O)O	D-Erythrose 4-phosphate	Q9WYD1	22.9	s^(-1)
1.13.11.8	F103L	Sphingobium sp.	COC1=CC(=CC(=C1[O-])O)C(=O)O	3-O-methylgallate		7.0	s^(-1)
1.13.11.8	wildtype	Sphingobium sp.	COC1=CC(=CC(=C1[O-])O)C(=O)O	3-O-methylgallate		7.3	s^(-1)
1.13.11.8	F103T	Sphingobium sp.	COC1=CC(=CC(=C1[O-])O)C(=O)O	3-O-methylgallate		15.1	s^(-1)
1.13.11.8	F103T	Sphingobium sp.	C1=C(C=C(C(=C1O)O)O)C(=O)O	gallic acid		22.7	s^(-1)
1.13.11.8	F103V	Sphingobium sp.	C1=C(C=C(C(=C1O)O)O)C(=O)O	gallic acid		24.0	s^(-1)
1.13.11.8	F103L	Sphingobium sp.	C1=CC(=C(C=C1C(=O)O)O)O	Protocatechuic acid		33.0	s^(-1)
1.13.11.8	F103H	Sphingobium sp.	C1=C(C=C(C(=C1O)O)O)C(=O)O	gallic acid		41.0	s^(-1)
1.13.11.8	F103V	Sphingobium sp.	COC1=CC(=CC(=C1[O-])O)C(=O)O	3-O-methylgallate		49.0	s^(-1)
1.13.11.8	wildtype	Sphingobium sp.	C1=C(C=C(C(=C1O)O)O)C(=O)O	gallic acid		53.0	s^(-1)
1.13.11.8	F103V	Sphingobium sp.	C1=CC(=C(C=C1C(=O)O)O)O	Protocatechuic acid		89.0	s^(-1)
1.13.11.8	F103H	Sphingobium sp.	COC1=CC(=CC(=C1[O-])O)C(=O)O	3-O-methylgallate		91.0	s^(-1)
1.13.11.8	F103H	Sphingobium sp.	C1=CC(=C(C=C1C(=O)O)O)O	Protocatechuic acid		110.0	s^(-1)
1.13.11.8	F103T	Sphingobium sp.	C1=CC(=C(C=C1C(=O)O)O)O	Protocatechuic acid		112.0	s^(-1)
1.13.11.8	A18W	Sphingobium sp.	C1=CC(=C(C=C1C(=O)O)O)O	Protocatechuic acid		122.0	s^(-1)
1.13.11.8	wildtype	Sphingobium sp.	C1=CC(=C(C=C1C(=O)O)O)O	Protocatechuic acid		230.0	s^(-1)
1.13.11.8	wildtype	Comamonas testosteroni	C1=CC(=C(C=C1C(=O)O)O)O	Protocatechuic acid		350.0	s^(-1)
1.7.5.2	wildtype	Bacillus azotoformans	[N]=O	nitric oxide		153.0	s^(-1)
2.7.13.3	D782N/D909N/D657N	Myxococcus xanthus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.000167	s^(-1)
3.2.1.11	wildtype	Chaetomium erraticum	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		4564.0	s^(-1)
3.2.1.11	wildtype	Paenibacillus sp.	C(C1C(C(C(C(O1)OCC(C(C(C(C=O)OC2C(C(C(C(O2)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O	Isomaltoheptaose		7.93	s^(-1)
3.2.1.11	T558H	Streptococcus mutans	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		29.0	s^(-1)
3.2.1.11	T563N/W279F	Streptococcus mutans	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		50.0	s^(-1)
3.2.1.11	T563N	Streptococcus mutans	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		57.0	s^(-1)
3.2.1.11	wildtype	Streptococcus mutans	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		77.0	s^(-1)
3.2.1.11	T563N/W279A	Streptococcus mutans	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		98.0	s^(-1)
3.2.1.11	W279A	Streptococcus mutans	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		99.0	s^(-1)
3.2.1.11	W279F	Streptococcus mutans	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		110.0	s^(-1)
3.2.1.11	wildtype	Talaromyces aculeatus	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	Dextran		2230.0	s^(-1)
2.4.1.264	Y292A	Xanthomonas campestris	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-D-glucuronate		0.02	s^(-1)
2.4.1.264	E272A	Xanthomonas campestris	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-D-glucuronate		0.038	s^(-1)
2.4.1.264	E272D	Xanthomonas campestris	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-D-glucuronate		0.072	s^(-1)
2.4.1.264	Q310A	Xanthomonas campestris	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-D-glucuronate		0.075	s^(-1)
2.4.1.264	D207A	Xanthomonas campestris	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-D-glucuronate		0.084	s^(-1)
2.4.1.264	E192A/M231A	Xanthomonas campestris	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-D-glucuronate		0.087	s^(-1)
2.4.1.264	D234A	Xanthomonas campestris	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-D-glucuronate		0.088	s^(-1)
3.2.1.39	wildtype	Lentinula edodes	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		0.84	s^(-1)
3.2.1.39	wildtype	Tenebrio molitor	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		1.4	s^(-1)
3.2.1.39	T149A/A344V	Cellulosimicrobium cellulans	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		72.8	s^(-1)
3.2.1.39	wildtype	Vitis vinifera	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		92.0	s^(-1)
3.2.1.39	wildtype	Cellulosimicrobium cellulans	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		35.9	s^(-1)
3.2.1.39	wildtype	Aplysia kurodai	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		23.01	s^(-1)
3.2.1.39	wildtype	Spodoptera frugiperda	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		29.0	s^(-1)
3.2.1.39	wildtype	Cellulosimicrobium cellulans	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)O)O)O)O	Laminariheptaose		69.0	s^(-1)
3.2.1.39	wildtype	Cellulosimicrobium cellulans	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)O	Laminaripentaose		75.0	s^(-1)
3.2.1.39	F160L	Cellulosimicrobium cellulans	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		51.5	s^(-1)
3.2.1.39	G145D	Cellulosimicrobium cellulans	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		62.4	s^(-1)
3.2.1.39	wildtype	Thermotoga maritima	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		109.0	s^(-1)
3.2.1.39	G145D/T149A/A344V	Cellulosimicrobium cellulans	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		138.0	s^(-1)
3.2.1.39	wildtype	Boscia senegalensis	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		395.0	s^(-1)
3.2.1.39	wildtype	Thermotoga petrophila	C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	Laminaritriose		680.3	s^(-1)
2.7.7.8	wildtype	Thermus thermophilus	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	CMP		3.33	s^(-1)
2.7.7.8	wildtype	Thermus thermophilus	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N	GMP		3.33	s^(-1)
2.7.7.8	wildtype	Thermus thermophilus	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	UMP		3.33	s^(-1)
3.1.1.81	wildtype	Bacillus thuringiensis	CCCC(=O)NC1CCOC1=O	N-Butyryl-L-homoserine lactone	P0CJ63	0.00549	s^(-1)
3.1.1.81	R230C/E101G	Geobacillus kaustophilus	CCCC(=O)NC1CCOC1=O	N-Butyryl-L-homoserine lactone		0.009	s^(-1)
3.1.1.81	wildtype	Bacillus thuringiensis	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone	A3FJ64	510.0	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCC(=O)NC1CCOC1=O	N-Butyryl-L-homoserine lactone		0.011	s^(-1)
3.1.1.81	wildtype	Kurthia huakuii	CCCCCCCCCCCCCC(=O)NC1CCOC1=O	N-tetradecanoyl-L-homoserine lactone		0.038	s^(-1)
3.1.1.81	wildtype	Bacillus thuringiensis	CCCCCCCC(=O)NC1CCOC1=O	N-Octanoyl-L-homoserine lactone	A3FJ64	57.0	s^(-1)
3.1.1.81	F107W	Bacillus thuringiensis	CCCCC(=O)NC1CCOC1=O	N-pentanoyl-L-homoserine lactone	A3FJ64	0.08	s^(-1)
3.1.1.81	wildtype	Vulcanisaeta moutnovskia	CCCCCCCCC1CCC(=O)O1	gamma-dodecanolactone		0.16	s^(-1)
3.1.1.81	wildtype	Geobacillus kaustophilus	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone		0.17	s^(-1)
3.1.1.81	R230C/E101G	Geobacillus kaustophilus	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone		0.2	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone		0.25	s^(-1)
3.1.1.81	F107W	Bacillus thuringiensis	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone	A3FJ64	0.257	s^(-1)
3.1.1.81	wildtype	Geobacillus kaustophilus	CCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxooctanoyl)-L-homoserine lactone		0.29	s^(-1)
3.1.1.81	F107W	Bacillus thuringiensis	CCCCCCC(=O)NC1CCOC1=O	N-heptanoyl-L-homoserine lactone	A3FJ64	0.3	s^(-1)
3.1.1.81	R230C/E101G	Geobacillus kaustophilus	CCCCCCCC(=O)NC1CCOC1=O	N-Octanoyl-L-homoserine lactone		0.3	s^(-1)
3.1.1.81	Y194F	Bacillus thuringiensis	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone	A3FJ64	16.6	s^(-1)
3.1.1.81	F107W	Bacillus thuringiensis	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone	A3FJ64	0.32	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxohexanoyl)-L-homoserine lactone		0.4	s^(-1)
3.1.1.81	E101N	Geobacillus kaustophilus	CCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxooctanoyl)-L-homoserine lactone		0.4	s^(-1)
3.1.1.81	wildtype	Chryseobacterium sp. StRB126	CCCCCCCCCCCC(=O)NC1CCOC1=O	N-dodecanoyl-DL-homoserine lactone		0.4	s^(-1)
3.1.1.81	R230C/E101G	Geobacillus kaustophilus	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		0.43	s^(-1)
3.1.1.81	F107W	Bacillus thuringiensis	CCCCCCCC(=O)NC1CCOC1=O	N-Octanoyl-L-homoserine lactone	A3FJ64	0.46	s^(-1)
3.1.1.81	wildtype	Saccharolobus solfataricus	CCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxohexanoyl)-L-homoserine lactone	Q97VT7	0.52	s^(-1)
3.1.1.81	wildtype	Geobacillus kaustophilus	CCCCCCCC(=O)NC1CCOC1=O	N-Octanoyl-L-homoserine lactone		0.52	s^(-1)
3.1.1.81	F64A	Bacillus thuringiensis serovar kurstaki	CCCC(=O)NC1CCOC1=O	N-Butyryl-L-homoserine lactone		0.57	s^(-1)
3.1.1.81	wildtype	Vulcanisaeta moutnovskia	CCCCCCCC(=O)NC1CCOC1=O	N-Octanoyl-L-homoserine lactone	F0QXN6	0.59	s^(-1)
3.1.1.81	wildtype	Kurthia huakuii	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone		0.649	s^(-1)
3.1.1.81	F64C/F68C	Bacillus thuringiensis	CCCCCCCC(=O)NC1CCOC1=O	N-Octanoyl-L-homoserine lactone	A3FJ64	8.2	s^(-1)
3.1.1.81	R230C/E101G	Geobacillus kaustophilus	CCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxohexanoyl)-L-homoserine lactone		0.91	s^(-1)
3.1.1.81	wildtype	Saccharolobus solfataricus	CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-oxododecanoyl)-L-homoserine lactone	Q97VT7	0.95	s^(-1)
3.1.1.81	wildtype	Saccharolobus solfataricus	CCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxooctanoyl)-L-homoserine lactone	Q97VT7	1.0	s^(-1)
3.1.1.81	A206V	Bacillus thuringiensis serovar kurstaki	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		1.05	s^(-1)
3.1.1.81	A206V	Bacillus thuringiensis serovar kurstaki	CCCC(=O)NC1CCOC1=O	N-Butyryl-L-homoserine lactone		1.07	s^(-1)
3.1.1.81	R230C/E101G	Geobacillus kaustophilus	CCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxooctanoyl)-L-homoserine lactone		1.1	s^(-1)
3.1.1.81	wildtype	Kurthia huakuii	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		1.321	s^(-1)
3.1.1.81	D108N	Bacillus thuringiensis	CCCCCC(=O)NC1CCOC1=O	N-Hexanoyl-L-homoserine lactone	A3FJ64	3.5	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCCCCCC(=O)NC1CCOC1=O	N-Octanoyl-L-homoserine lactone		1.4	s^(-1)
3.1.1.81	wildtype	Saccharolobus solfataricus	CCCCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxodecanoyl)-L-homoserine lactone	Q97VT7	1.5	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCCC1CCCC(=O)O1	delta-nonalactone		1.6	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		1.7	s^(-1)
3.1.1.81	E101N	Geobacillus kaustophilus	CCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxohexanoyl)-L-homoserine lactone		1.8	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxooctanoyl)-L-homoserine lactone		1.8	s^(-1)
3.1.1.81	wildtype	Brevundimonas diminuta	CCCCCCCCCC(=O)CCNC1CCOC1=O	N-(3-oxododecyl)-L-homoserine lactone		1.83	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCCCC1CCC(=O)O1	gamma-Nonalactone		2.0	s^(-1)
3.1.1.81	R230C/E101G	Geobacillus kaustophilus	CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-oxododecanoyl)-L-homoserine lactone		2.0	s^(-1)
3.1.1.81	wildtype	Brevundimonas diminuta	CCCC(=O)NC1CCOC1=O	N-Butyryl-L-homoserine lactone		2.62	s^(-1)
3.1.1.81	wildtype	Geobacillus kaustophilus	CCCCCC1CCC(=O)O1	gamma-Nonalactone		2.9	s^(-1)
3.1.1.81	F64A	Bacillus thuringiensis serovar kurstaki	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		2.98	s^(-1)
3.1.1.81	F64C/F68C	Bacillus thuringiensis	CCCCC(=O)NC1CCOC1=O	N-pentanoyl-L-homoserine lactone	A3FJ64	6.1	s^(-1)
3.1.1.81	A206I	Bacillus thuringiensis serovar kurstaki	CCCC(=O)NC1CCOC1=O	N-Butyryl-L-homoserine lactone		3.06	s^(-1)
3.1.1.81	A206I	Bacillus thuringiensis serovar kurstaki	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		4.16	s^(-1)
3.1.1.81	wildtype	Brevundimonas diminuta	C1COC(=O)C1N	L-homoserine lactone		4.69	s^(-1)
3.1.1.81	wildtype	Alicyclobacillus acidoterrestris	CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-oxododecanoyl)-L-homoserine lactone		5.03	s^(-1)
3.1.1.81	wildtype	Alicyclobacillus acidoterrestris	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		5.2	s^(-1)
3.1.1.81	wildtype	Chryseobacterium sp. StRB126	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		5.2	s^(-1)
3.1.1.81	wildtype	Parageobacillus caldoxylosilyticus	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone	A0A023DFE8	5.48	s^(-1)
3.1.1.81	E101N/R230I	Geobacillus kaustophilus	CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-oxododecanoyl)-L-homoserine lactone		6.9	s^(-1)
3.1.1.81	wildtype	Alicyclobacillus acidoterrestris	CCCCC1CC(=O)O1	gamma-heptanolide		7.0	s^(-1)
3.1.1.81	F64W	Bacillus thuringiensis serovar kurstaki	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		7.41	s^(-1)
3.1.1.81	V69W/F64W	Bacillus thuringiensis serovar kurstaki	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		7.83	s^(-1)
3.1.1.81	wildtype	Alicyclobacillus acidoterrestris	CCCCCC1CCCC(=O)O1	delta-decalactone		8.4	s^(-1)
3.1.1.81	wildtype	Alicyclobacillus acidoterrestris	C1CCOC(=O)C1	delta-Valerolactone		8.4	s^(-1)
3.1.1.81	A206L	Bacillus thuringiensis serovar kurstaki	CCCCCCCCCC(=O)NC1CCOC1=O	N-decanoyl-L-homoserine lactone		8.63	s^(-1)
